"Time","CO2_Interieur_Sud.mean","CO2_Interieur_Nord.mean","CO2_E4000.mean","COV_E4000.mean  x100"
"2019-04-23-01",412.71475,401.20025,409.456,164.5
"2019-04-23-02",415.605,400.15475,409.89875,161.05
"2019-04-23-03",412.544,390.523,407.61625,158.1835
"2019-04-23-04",412.69875,390.60125,406.20275,154.16675
"2019-04-23-05",398.37,394.11725,400.672,151.35
"2019-04-23-06",401.227,379.991,394.912,147.93325
"2019-04-23-07",390.705,378.765,392.41075,144.09975
"2019-04-23-08",396.176,375.437,384.76825,139.98325
"2019-04-23-09",406.8585,405.62125,411.54125,116.2355
"2019-04-23-10",422.89075,421.94125,425.1145,98.7165
"2019-04-23-11",449.8135,450.36275,461.23725,107.0835
"2019-04-23-12",446.66125,419.857,437.7815,111.63325
"2019-04-23-13",432.4105,414.52275,425.85625,120.55
"2019-04-23-14",393.7705,382.016,385.658,80.98325
"2019-04-23-15",389.04525,420.544,397.17325,59.98325
"2019-04-23-16",427.13075,465.28,442.33175,73.55
"2019-04-23-17",465.6375,444.81625,459.9415,90.10025
"2019-04-23-18",449.03475,428.1655,441.536,101.8835
"2019-04-23-19",434.53575,417.3545,434.40525,110.1
"2019-04-23-20",430.005,411.344,422.9545,115.7665
"2019-04-23-21",411.9575,403.3645,417.00275,118.01675
"2019-04-23-22",406.18675,397.264,409.04525,114.25
"2019-04-23-23",403.40275,390.6295,400.0535,114.95
"2019-04-24-00",388.55025,384.48525,389.8265,107.98325
"2019-04-24-01",384.75725,372.288,379.808,100.28325
"2019-04-24-02",379.284,365.57325,369.648,96.75
"2019-04-24-03",373.57325,358.18675,365.85075,98.65
"2019-04-24-04",374.26125,349.47425,365.4025,101.75
"2019-04-24-05",374.91725,361.5145,365.11475,102.3665
"2019-04-24-06",370.20825,359.10925,368.76825,98.2
"2019-04-24-07",359.98925,348.19175,352.6345,85.51675
"2019-04-24-08",349.05075,337.8775,341.51175,71.06675
"2019-04-24-09",397.40275,393.276,399.93075,63.35
"2019-04-24-10",447.01625,438.78925,443.40725,65.1835
"2019-04-24-11",485.0935,473.39725,482.76275,70.08325
"2019-04-24-12",468.10675,449.76,460.048,71.95
"2019-04-24-13",430.58125,416.36275,421.04525,74.78325
"2019-04-24-14",402.931,383.01225,394.81275,72.0665
"2019-04-24-15",385.072,374.8,378.352,77.21675
"2019-04-24-16",379.34925,366.1705,369.7225,79.2335
"2019-04-24-17",363.643,348.8535,354.5015,67.46675
"2019-04-24-18",349.87075,336.3065,343.9625,56.4835
"2019-04-24-19",337.242,328.38675,333.1065,49.6665
"2019-04-24-20",340.21875,321.94575,332.13625,46.99975
"2019-04-24-21",339.99475,323.51075,328.13875,44.21675
"2019-04-24-22",337.80275,322.7495,325.44825,40.083
"2019-04-24-23",338.51725,315.678,322.91475,37.4665
"2019-04-25-00",334.0535,321.416,324.74925,31.6335
"2019-04-25-01",335.21575,311.28625,320.1575,25.9605
"2019-04-25-02",330.6,313.0695,319.82125,25.1
"2019-04-25-03",332.059,313.10925,317.53075,26.2
"2019-04-25-04",332.1895,312.37875,317.4185,27.35
"2019-04-25-05",329.4375,309.47225,316.424,29.05
