"Time","Temperature_Interieur_Sud.mean","Temperature_Interieur_Nord.mean","Temperature_E4000.mean","Temperature_ressentie_E4000.mean","Station_Meteo_Text","Mur_Temp_1_1.mean"
"2019-09-04-14",24.41,22.9066666666667,25.2666666666667,25.2666666666667,31.3666666666667,22.1916666666667
"2019-09-04-15",24.8116666666667,23.07,25.4666666666667,25.4666666666667,32.4666666666667,22.4075
"2019-09-04-16",25.3466666666667,23.3083333333333,25.8333333333333,25.8333333333333,32.4666666666667,22.7025
"2019-09-04-17",25.9183333333333,23.5833333333333,26.1416666666667,26.1416666666667,33.1666666666667,23.0858333333333
"2019-09-04-18",26.4633333333333,23.8816666666667,26.4,26.4,32.7833333333333,23.48
"2019-09-04-19",26.84,24.1333333333333,26.4916666666667,26.4916666666667,28.325,23.845
"2019-09-04-20",27.135,24.3983333333333,26.5083333333333,26.5083333333333,23.6333333333333,24.175
"2019-09-04-21",27.3333333333333,24.6383333333333,26.5666666666667,26.5666666666667,21.2583333333333,24.4691666666667
"2019-09-04-22",27.4033333333333,24.8366666666667,26.6,26.6,19.8333333333333,24.6825
"2019-09-04-23",27.3383333333333,24.9583333333333,26.575,26.575,18.75,24.7958333333333
"2019-09-05-00",27.2016666666667,25.0133333333333,26.475,26.475,17.7,24.8275
"2019-09-05-01",27.0033333333333,25,26.375,26.375,16.6416666666667,24.79
"2019-09-05-02",26.7566666666667,24.9266666666667,26.1916666666667,26.1916666666667,15.7916666666667,24.695
"2019-09-05-03",26.4766666666667,24.8166666666667,26.0833333333333,26.0833333333333,15.5833333333333,24.5566666666667
"2019-09-05-04",26.1766666666667,24.6583333333333,25.9166666666667,25.9166666666667,14.8666666666667,24.3775
"2019-09-05-05",25.85,24.465,25.6833333333333,25.6833333333333,14.5,24.1583333333333
"2019-09-05-06",25.5133333333333,24.2516666666667,25.4833333333333,25.4833333333333,14.1416666666667,23.9166666666667
"2019-09-05-07",25.165,24.01,25.2833333333333,25.2833333333333,14.35,23.6708333333333
"2019-09-05-08",24.8533333333333,23.775,25.1833333333333,25.1833333333333,15.8916666666667,23.405
"2019-09-05-09",24.7416666666667,23.5716666666667,25.1666666666667,25.1666666666667,20.675,23.1725
"2019-09-05-10",24.7566666666667,23.4733333333333,25.1833333333333,25.1833333333333,20.3666666666667,22.9616666666667
"2019-09-05-11",24.77,23.4883333333333,25.1833333333333,25.1833333333333,18.8166666666667,22.86
"2019-09-05-12",24.6183333333333,23.425,25.175,25.175,18.5833333333333,22.7941666666667
"2019-09-05-13",24.6366666666667,23.39,25.2,25.2,19.7916666666667,22.785
"2019-09-05-14",24.6966666666667,23.3733333333333,25.2416666666667,25.2416666666667,18.5083333333333,22.7625
"2019-09-05-15",24.6533333333333,23.365,25.1833333333333,25.1833333333333,18.2916666666667,22.7883333333333
"2019-09-05-16",24.5633333333333,23.3316666666667,25.1666666666667,25.1666666666667,18.475,22.7841666666667
"2019-09-05-17",24.1016666666667,23.135,24.9166666666667,24.9166666666667,18.6166666666667,22.7016666666667
"2019-09-05-18",23.8533333333333,23.0016666666667,24.7916666666667,24.7916666666667,18.1833333333333,22.5916666666667
